"","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Emisja CO2","Typ","Liczba drzwi","Liczba miejsc","Kolor","VAT mar¿a","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Bezwypadkowy","Serwisowany w ASO","Stan","Rodzaj koloru","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Gwarancja dealerska (w cenie)","Uszkodzony","Miesiêczna rata","Tuning","lub do (przebieg km)","Generacja","Okres gwarancji producenta","Op³ata pocz¹tkowa","Liczba pozosta³ych rat","Wartoœæ wykupu","Kod Silnika","Akryl (niemetalizowany)","Zarejestrowany jako zabytek","Homologacja ciê¿arowa","Kierownica po prawej (Anglik)"
"1:2092","37 900","Firmy","Osobowe","Saab","9-5",NA,"2011","165 000 km","2 000 cm3","Benzyna","220 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Szary","Tak","Stany Zjednoczone","01/01/2011",NA,"Tak",NA,NA,"U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2093","11 700","Osoby prywatnej","Osobowe","Saab","9-3","1.8t","2004","250 111 km","1 998 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a","205 g/km","Sedan","4","5","Czarny",NA,NA,"27/12/2004","FR333440",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2094","7 900","Firmy","Osobowe","Saab","9-5","Kombi 2.0T Linear","2003","256 000 km","1 985 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czerwony","Tak",NA,NA,NA,NA,NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2095","13 900","Firmy","Osobowe","Saab","9-3","1.8i Sport-Kombi","2007","229 000 km","1 796 cm3","Benzyna","122 KM","Manualna","Na przednie ko³a","185 g/km","Kombi","5","5","Czarny","Tak",NA,NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2096","9 999","Firmy","Osobowe","Saab","9-3","2.0T Linear","2003","225 337 km","1 998 cm3","Benzyna","175 KM","Manualna","Na przednie ko³a","197 g/km","Sedan","5","5","Czarny","Tak",NA,"20/11/2003",NA,NA,NA,"Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2097","12 900","Osoby prywatnej","Osobowe","Saab","9-3",NA,"2006","250 000 km","1 998 cm3","Benzyna","210 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Czerwony",NA,"Stany Zjednoczone",NA,"WT7840C","Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2098","22 500","Osoby prywatnej","Osobowe","Saab","9-3","1.9TTiD PF Vector","2009","231 000 km","1 910 cm3","Diesel","180 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Niebieski",NA,NA,NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2099","20 000","Osoby prywatnej","Osobowe","Saab","9-5",NA,"2008","229 357 km","1 985 cm3","Benzyna+LPG","150 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","5","5","Inny kolor",NA,"Szwajcaria",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2100","7 900","Firmy","Osobowe","Saab","9-5",NA,"2001","216 654 km","2 000 cm3","Benzyna+LPG","150 KM","Manualna","Na przednie ko³a",NA,"Kombi","4","5","Czarny","Tak","Holandia",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2101","20 900","Firmy","Osobowe","Saab","9-3","1.8i Linear","2010","220 000 km","1 796 cm3","Benzyna","122 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Szary",NA,"Belgia",NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2102","21 500","Osoby prywatnej","Osobowe","Saab","9-3","1.9TiD PF Vector Sport","2008","113 900 km","1 910 cm3","Diesel","175 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Czarny",NA,NA,"14/02/2008",NA,"Tak","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2103","19 900","Osoby prywatnej","Osobowe","Saab","9-3","1.9 TTiD Sport Kombi DPF","2008","220 000 km","1 910 cm3","Diesel","180 KM","Manualna","Na przednie ko³a","135 g/km","Sedan","5","5","Czarny","Tak",NA,NA,NA,NA,NA,NA,"U¿ywane",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2104","9 500","Osoby prywatnej","Osobowe","Saab","9-3","1.8t Vector","2002","330 000 km","1 998 cm3","Benzyna+LPG","150 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Szary",NA,"Holandia",NA,NA,"Tak","Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2105","9 471","Osoby prywatnej","Osobowe","Saab","9-3","2.8TS Aero","2006","158 000 km","2 792 cm3","Benzyna","250 KM","Manualna","Na przednie ko³a","245 g/km","Sedan","4","5","Szary",NA,NA,"15/03/2010","PKS28G3",NA,NA,NA,"U¿ywane","Metalik",NA,"Tak",NA,NA,NA,NA,"Tak",NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2106","7 990","Osoby prywatnej","Osobowe","Saab","900","900i 20-16","1993","277 200 km","1 985 cm3","Benzyna","128 KM","Manualna","Na przednie ko³a",NA,"Coupe","3","5","Zielony",NA,"Niemcy","14/04/1993","WT95495","Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2107","23 000","Osoby prywatnej","Osobowe","Saab","9-3","2.8TS Aero","2006","187 000 km","2 796 cm3","Benzyna","250 KM","Manualna",NA,NA,"Sedan","2","4","Czarny",NA,NA,"05/11/2007",NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2003-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2108","8 700","Osoby prywatnej","Osobowe","Seat","Toledo","1.9 TDI Signo Emocion","2004","190 000 km","1 896 cm3","Diesel","110 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Inny kolor","Tak","Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (1999-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2109","4 200","Osoby prywatnej","Osobowe","Seat","Leon","1.4 Signo","2001","272 000 km","1 390 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Srebrny",NA,NA,NA,"KPRW51ST",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I (1999-2005)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2110","69 700","Osoby prywatnej","Osobowe","Seat","Leon","2.0 TSI Cupra Start/Stop 280 DSG","2015","53 700 km","1 984 cm3","Benzyna","280 KM","Automatyczna","Na przednie ko³a","154 g/km","Kompakt","5","5","Bia³y",NA,NA,NA,NA,"Tak",NA,"Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2111","26 000","Osoby prywatnej","Osobowe","Seat","Leon","2.0 TDI FR Start/Stop","2013","79 255 km","1 968 cm3","Diesel","184 KM","Manualna","Na przednie ko³a","112 g/km","Kompakt","5","5","Szary",NA,NA,NA,NA,NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,"Tak"
"1:2112","36 900","Firmy","Osobowe","Seat","Leon",NA,"2015","107 946 km","1 598 cm3","Diesel","110 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Szary","Tak",NA,NA,NA,NA,"Tak",NA,"U¿ywane",NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2113","49 900","Osoby prywatnej","Osobowe","Seat","Leon","2.0 TDI DPF Start&Stop DSG","2014","226 930 km","1 968 cm3","Diesel","184 KM","Automatyczna","Na przednie ko³a","120 g/km","Kombi","5","5","Czarny",NA,"Niemcy","10/07/2014","TOS66909","Tak","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"Tak","226 930 km","III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2114","52 900","Firmy","Osobowe","Seat","Arona",NA,"2018","102 290 km","999 cm3","Benzyna","95 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Czarny",NA,"Francja","25/01/2019",NA,NA,"Tak","Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2115","12 500","Osoby prywatnej","Osobowe","Seat","Ibiza","1.4 TDI DPF","2007","150 364 km","1 422 cm3","Diesel","80 KM","Manualna","Na przednie ko³a","124 g/km","Kompakt","5","5","Srebrny",NA,NA,NA,"RZ7387A",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2002-2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2116","18 500","Osoby prywatnej","Osobowe","Seat","Altea XL","1.9 TDI Reference","2009","227 000 km","1 896 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","146 g/km","Minivan","5","5","Szary",NA,"Polska","07/08/2009",NA,"Tak",NA,"Tak","U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2117","39 852","Osoby prywatnej","Osobowe","Seat","Leon","1.2 TSI Style","2016","129 448 km","1 197 cm3","Benzyna","110 KM","Manualna","Na przednie ko³a","119 g/km","Kompakt","5","5","Bia³y",NA,"Polska",NA,NA,"Tak","Tak",NA,"U¿ywane",NA,NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2118","17 999","Osoby prywatnej","Osobowe","Seat","Leon",NA,"2008","178 000 km","1 896 cm3","Diesel","105 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5","5","Szary",NA,"Niemcy","08/10/2008",NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2119","39 990","Osoby prywatnej","Osobowe","Seat","Leon","1.4 TSI FR Start/Stop","2014","144 800 km","1 395 cm3","Benzyna","140 KM","Manualna","Na przednie ko³a","119 g/km","Kompakt","5","5","Czerwony","Tak","Polska",NA,"PZ170PW","Tak","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2120","18 900","Osoby prywatnej","Osobowe","Seat","Ibiza","SC 1.2 TSI FR","2012","189 000 km","1 197 cm3","Benzyna","105 KM","Manualna","Na przednie ko³a","119 g/km","Auta miejskie","3","5","Inny kolor","Tak","Niemcy","21/11/2012","DÜW-FL309",NA,NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IV (2008-2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2121","204 700","Firmy","Osobowe","Seat","Tarraco","2.0 TDI FR Start&Stop 4Drive DSG","2021","5 km","1 968 cm3","Diesel","200 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Bia³y",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2122","57 799","Firmy","Osobowe","Seat","Leon",NA,"2018","63 265 km","1 395 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Srebrny",NA,"Polska","09/08/2018","WE389TY","Tak",NA,"Tak","U¿ywane",NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2123","17 700","Osoby prywatnej","Osobowe","Seat","Altea XL","1.6","2006","115 990 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a","187 g/km","Minivan","5","5","Czarny",NA,NA,"17/03/2007","TK1268Y","Tak",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2124","8 500","Osoby prywatnej","Osobowe","Seat","Ibiza","1.4 16V Reference","2005","157 411 km","1 390 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","3","5","Szary",NA,"Polska","28/04/2005",NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2002-2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2125","143 488","Osoby prywatnej","Osobowe","Seat","Leon","2.0 TSI Cupra Start/Stop 4Drive DSG","2019","36 000 km","1 984 cm3","Benzyna","300 KM","Automatyczna","4x4 (sta³y)","157 g/km","Kombi","5","5","Czerwony",NA,"Polska",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,"Tak","Tak","Tak",NA,NA,NA,"1 656,05 PLN",NA,"150 000 km","III (2012-)","01/06/2025","14 000 PLN","47","24 823 PLN",NA,NA,NA,NA,NA
"1:2126","31 500","Firmy","Osobowe","Seat","Ibiza",NA,"2017","98 913 km","999 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a","118 g/km","Auta ma³e","5","5","Czarny",NA,NA,"01/02/2017",NA,"Tak","Tak","Tak","U¿ywane",NA,"Tak","Tak","Tak",NA,NA,"32 miesiêcy",NA,NA,NA,NA,"IV (2008-2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2127","120 540","Firmy","Osobowe","Seat","Ateca","1.5 TSI FR S&S DSG","2021","6 km","1 498 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a","149 g/km","SUV","5","5","Bia³y",NA,"Polska",NA,NA,"Tak","Tak",NA,"Nowe",NA,"Tak","Tak",NA,"Tak",NA,"60 miesiêcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2128","126 900","Firmy","Osobowe","Seat","Alhambra",NA,"2019","58 360 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a",NA,"Minivan","5","7","Szary",NA,"Polska","14/06/2019",NA,"Tak","Tak","Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,"II (2010-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2129","80 900","Firmy","Osobowe","Seat","Arona","1.0 TSI GPF Xcellence Start&Stop","2020","6 000 km","999 cm3","Benzyna","115 KM","Manualna","Na przednie ko³a",NA,"SUV","5","5","Szary",NA,NA,NA,NA,NA,"Tak",NA,"U¿ywane","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2130","89 000","Firmy","Osobowe","Seat","Ateca",NA,"2020",NA,"999 cm3","Benzyna","115 KM","Manualna","Na przednie ko³a",NA,"SUV","5","5","Szary",NA,"Polska",NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2131","55 000","Osoby prywatnej","Osobowe","Seat","Leon","1.4 TSI Start&Stop","2017","31 000 km","1 395 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a","120 g/km","Kompakt","5","5","Br¹zowy",NA,"Polska",NA,"CT7110P",NA,"Tak","Tak","U¿ywane",NA,NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2012-)","17/07/2021",NA,NA,NA,NA,NA,NA,NA,NA
"1:2132","74 799","Firmy","Osobowe","Seat","Leon",NA,"2018","40 841 km","1 498 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a",NA,"Kompakt","5","5","Czarny",NA,"Polska","07/03/2019","WE831VP","Tak",NA,"Tak","U¿ywane","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2133","70 000","Osoby prywatnej","Osobowe","Seat","Arona","1.0 TSI Xcellence Start&Stop DSG","2018","24 500 km","999 cm3","Benzyna","115 KM","Automatyczna","Na przednie ko³a",NA,"SUV","5",NA,"Szary",NA,"Francja","13/12/2018",NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2134","92 100","Firmy","Osobowe","Seat","Arona","1.0 TSI FR Start&Stop","2021","10 km","999 cm3","Benzyna","110 KM","Manualna","Na przednie ko³a",NA,"SUV","5","5","Bia³y",NA,"Polska",NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak",NA,NA,NA,NA,"60 miesiêcy",NA,NA,NA,"150 000 km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2135","9 900","Osoby prywatnej","Osobowe","Seat","Ibiza","1.4 16V Excelente","2006","146 000 km","1 390 cm3","Benzyna","85 KM","Manualna","Na przednie ko³a","154 g/km","Auta miejskie","5","5","Czarny","Tak","Niemcy","15/11/2006","KT-HI26",NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2002-2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2136","64 900","Firmy","Osobowe","Seat","Leon","1.4 TSI FR Start/Stop","2017","88 294 km","1 395 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Bia³y",NA,"Polska","28/04/2017",NA,"Tak","Tak","Tak","U¿ywane",NA,NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2137","13 900","Osoby prywatnej","Osobowe","Seat","Leon","1.6","2006","218 000 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Zielony",NA,NA,NA,NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2138","116 934","Firmy","Osobowe","Seat","Leon",NA,"2021","1 km","1 498 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","5","5","Szary",NA,"Polska",NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,"IV (2020 - )",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2139","74 900","Osoby prywatnej","Osobowe","Seat","Leon","2.0 TSI Cupra 280 Start/Stop DSG","2015","90 468 km","1 984 cm3","Benzyna","280 KM","Automatyczna","Na przednie ko³a","154 g/km","Kompakt","5","5","Czerwony",NA,"Niemcy",NA,NA,"Tak",NA,"Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2140","21 500","Firmy","Osobowe","Seat","Ibiza",NA,"2013","120 134 km","1 198 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Czerwony","Tak",NA,NA,NA,NA,"Tak","Tak","U¿ywane",NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"IV (2008-2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2141","107 355","Firmy","Osobowe","Seat","Leon","1.5 EcoTSI Evo Xcellence Start/Stop","2021","5 km","1 498 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Szary",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IV (2020 - )",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2142","28 900","Firmy","Osobowe","Seat","Mii","1.0 Reference EU6","2017","98 421 km","999 cm3","Benzyna","60 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e","3","5","¯ó³ty",NA,"Polska","08/06/2017","WE258PS","Tak",NA,"Tak","U¿ywane",NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2143","13 900","Osoby prywatnej","Osobowe","Seat","Ibiza","ST 1.2 TDI CR Ecomotive","2011","149 100 km","1 199 cm3","Diesel","75 KM","Manualna","Na przednie ko³a","89 g/km","Auta miejskie","5","5","Szary",NA,NA,"20/09/2011",NA,NA,NA,NA,"U¿ywane","Per³owy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IV (2008-2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2144","20 900","Osoby prywatnej","Osobowe","Seat","Exeo","1.8 TSI","2010","141 000 km","1 798 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","172 g/km","Kombi","5","5","Czarny",NA,"Niemcy",NA,"GD574RE","Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2145","44 900","Firmy","Osobowe","Seat","Leon",NA,"2019","59 994 km","1 000 cm3","Benzyna","85 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Czarny",NA,"Polska","12/04/2019","PO2KM87","Tak","Tak","Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2146","137 000","Firmy","Osobowe","Seat","Tarraco","1.5 Eco TSI EVO Style Start&Stop","2021","10 km","1 498 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"SUV","5","5","Szary",NA,"Polska",NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak",NA,NA,NA,NA,"60 miesiêcy",NA,NA,NA,"150 000 km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2147","56 900","Firmy","Osobowe","Seat","Leon","1.6 TDI Style Start/Stop","2018","125 951 km","1 598 cm3","Diesel","115 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Bia³y",NA,"Polska","16/03/2018","WD4263H","Tak",NA,"Tak","U¿ywane",NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,"III (2012-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2148","74 990","Osoby prywatnej","Osobowe","Seat","Leon","ST 1.5 TSI ACT DSG OPF","2019","38 000 km","1 498 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a","116 g/km","Kombi","5","5","Bia³y",NA,"Polska","09/04/2019","DOA 70792","Tak","Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2012-)","09/04/2024",NA,NA,NA,NA,NA,NA,NA,NA
"1:2149","12 900","Firmy","Osobowe","Seat","Ibiza",NA,"2009","138 558 km","1 198 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","3","5","Zielony","Tak","Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"IV (2008-2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2150","106 400","Firmy","Osobowe","Seat","Leon","1.5 TSI FR","2021","10 km","1 498 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Niebieski",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak",NA,NA,NA,NA,"60 miesiêcy",NA,NA,NA,"150 000 km","IV (2020 - )",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2151","19 900","Osoby prywatnej","Osobowe","Seat","Leon",NA,"2009","176 000 km","1 390 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a","152 g/km","Minivan","5","5","Czarny","Tak",NA,NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2152","135 189","Firmy","Osobowe","Seat","Ateca","1.5 TSI Xperience S&S DSG","2021","5 km","1 498 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a",NA,"SUV","5","5","Szary",NA,NA,NA,NA,NA,"Tak",NA,"Nowe","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2153","21 500","Osoby prywatnej","Osobowe","Seat","Ibiza","1.2 12V Style","2010","146 079 km","1 198 cm3","Benzyna+LPG","70 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5","5","Czarny",NA,NA,"15/05/2009","KNS4558G","Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"IV (2008-2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2154","15 500","Firmy","Osobowe","Seat","Ibiza","1.4 16V Reference","2009","145 344 km","1 390 cm3","Benzyna","86 KM","Manualna","Na przednie ko³a","149 g/km","Kompakt","5","5","Inny kolor","Tak",NA,"13/10/2009","WR342EN",NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"IV (2008-2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA
